B2.SP,B8.SP,B10.SP,IPAC,WATER
2.9,103.58764186885118,88.59866988727856,0.9662295730367262,0.966577427584916
2.9,102.9437025046055,88.86565315159878,0.966359933297686,0.9665831953238148
2.9,101.87047023086271,91.00151926616054,0.9663585678269746,0.9665880776636858
2.9,103.37299541410265,89.84459178743955,0.96601583743642,0.9665918148248271
2.9,104.87552059734251,90.55654715896016,0.9656288296573332,0.9665936498195375
2.9,103.37299541410265,88.68766430871864,0.9652964964232804,0.9665928647174992
2.9,103.80228832359974,90.37855831608006,0.9653770574856476,0.966589196332384
2.9,102.9437025046055,91.26850253048076,0.9656513454450216,0.9665832783708412
2.9,106.592692235331,87.79772009431791,0.965953396736979,0.966576416326438
2.9,104.01693477834827,90.73453600184031,0.966432467853376,0.9665699622204486
2.9,102.2997631403598,90.20056947319988,0.9667173975087568,0.9665649230766888
2.9,104.23158123309686,91.1795081090407,0.9670019963076568,0.9665624320369648
2.9,104.01693477834827,90.1115750517598,0.9671628950766946,0.9665631740097856
2.9,106.37804578058243,86.55179819415686,0.9672535117463036,0.966567198209635
2.9,105.09016705209109,88.4206810443984,0.967458720772902,0.966573927472792
2.9,105.51945996158821,88.33168662295833,0.9674919765133811,0.9665827589574052
2.9,102.9437025046055,88.86565315159878,0.9673302321614932,0.966593047209324
2.9,102.08511668561123,88.59866988727856,0.967282809136393,0.9666040596485512
2.9,105.94875287108532,89.84459178743955,0.9671216066836698,0.9666148452582508
2.9,103.80228832359974,87.61973125143774,0.9669314303749592,0.9666245428095426
2.9,102.72905604985694,91.00151926616054,0.9668246708784276,0.9666321472053256
2.9,103.80228832359974,88.15369778007818,0.9665377602340453,0.9666371008267176
2.9,102.9437025046055,90.46755273752012,0.9661969882959716,0.9666388579401785
2.9,102.2997631403598,88.68766430871864,0.9655798980788048,0.9666367492191941
2.9,104.44622768784542,87.97570893719805,0.9651691578484468,0.9666300787317776
2.9,102.2997631403598,87.97570893719805,0.9651530202772044,0.9666186954551722
2.9,105.51945996158821,88.59866988727856,0.965477493328602,0.966603281755548
2.9,102.08511668561123,90.46755273752012,0.9659920226767948,0.9665854155231032
2.9,101.87047023086271,88.50967546583848,0.9665406356717972,0.9665671096085992
2.9,101.87047023086271,88.50967546583848,0.9672272722097332,0.9665509329498145
