B2.SP,B8.SP,B10.SP,IPAC,WATER
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
3.0,105.0,89.0,0.964916,0.966522
2.9,101.87047023086271,90.02258063031971,0.964916,0.966522
2.9,106.80733869007958,90.64554158040023,0.9649161351445348,0.9665219163672482
2.9,103.80228832359974,88.33168662295833,0.9648552723701256,0.9665218971998808
2.9,101.87047023086271,89.93358620887966,0.9650387083931218,0.9665218247354472
2.9,108.09521741857093,90.37855831608006,0.9652234485925298,0.9665220910869696
2.9,104.23158123309686,89.93358620887966,0.9652207165196408,0.966523166726332
2.9,104.23158123309686,89.93358620887966,0.9652529949785782,0.9665248955294632
2.9,102.72905604985694,89.84459178743955,0.9652113105357172,0.9665271937433892
2.9,104.01693477834827,90.02258063031971,0.9655601142583587,0.9665300404280954
